Date,Scrip,Open,High,Low,Close,Volume
20250831,00DS30,2156.99044,2198.46356,2175.63016,2193.72385,12964319000
20250831,00DSES,1207.20325,1230.52205,1216.5548,1227.70749,12964319000
20250831,00DSEX,5517.94525,5603.64884,5551.99335,5594.393,12964319000
20250831,00DSMEX,913.29577,931.2053,905.61859,913.73297,15008000
20250831,1JANATAMF,3.3,3.4,3.2,3.2,757662
20250831,1STPRIMFMF,22.5,22.5,21.8,21.9,1627044
20250831,AAMRANET,19.4,21.1,19.4,21.1,1754830
20250831,AAMRATECH,13.3,14.4,13.3,14.4,247514
20250831,ABB1STMF,3.4,3.4,3.3,3.3,1229082
20250831,ABBANK,6,6,5.9,5.9,1577958
20250831,ACFL,20.3,20.5,19.5,19.6,142983
20250831,ACHIASF,43.9,43.9,40.3,43.6,1832
20250831,ACI,194.9,194.9,191,191.3,59809
20250831,ACIFORMULA,160,160,156,156.4,155697
20250831,ACMELAB,82.7,84.8,82.7,83.9,1275874
20250831,ACMEPL,17,17.3,16.5,16.6,3352519
20250831,ACTIVEFINE,9,9.6,8.8,8.9,611985
20250831,ADNTEL,80,85,79.9,82.6,857315
20250831,ADVENT,15.4,16,15.4,15.7,721969
20250831,AFCAGRO,8.1,8.2,7.8,7.9,567218
20250831,AFTABAUTO,38.4,39.3,37.4,37.6,590229
20250831,AGNISYSL,27.4,28.5,27.3,27.9,7224634
20250831,AGRANINS,26.3,27,26.3,26.7,215030
20250831,AIBL1STIMF,4.4,4.5,4.3,4.3,547170
20250831,AIL,58.1,60.8,57.9,58.7,2007668
20250831,AL-HAJTEX,168,170,163.5,165.1,172896
20250831,ALARABANK,17.1,17.3,17.1,17.3,24050
20250831,ALIF,5.7,5.9,5.7,5.7,869207
20250831,ALLTEX,11.8,12.3,11.7,11.8,94352
20250831,AMANFEED,27.6,28.5,27.2,27.5,1568895
20250831,AMBEEPHA,867,884,855.4,857.2,14564
20250831,AMCL(PRAN),250.2,255.2,245.2,250.6,7129
20250831,AMPL,34.9,35,31.9,32.4,25175
20250831,ANLIMAYARN,23.5,24,23,23,44390
20250831,ANWARGALV,81.8,82.8,81.8,82.1,368552
20250831,AOL,15.2,15.4,15,15.1,322263
20250831,AOPLC,11.1,11.1,10.3,10.4,234518
20250831,APEXFOODS,249.9,251.5,247,248.3,35947
20250831,APEXFOOT,230,234.9,228.3,233.4,101510
20250831,APEXSPINN,153,154.5,149.1,151.1,176685
20250831,APEXTANRY,78.6,79,77.3,77.8,63502
20250831,APEXWEAV,5.9,5.9,5.4,5.5,57099
20250831,APOLOISPAT,2.8,3,2.8,3,656624
20250831,ARAMIT,233,235,230.1,232.1,36569
20250831,ARAMITCEM,11.8,12.1,11.8,12,70560
20250831,ARGONDENIM,20,20.4,19.6,19.8,1537255
20250831,ASIAINS,28.9,29.6,28.7,29,310786
20250831,ASIAPACINS,36.3,36.3,35.1,35.6,62195
20250831,ASIATICLAB,54.6,56,53.9,55.4,1487680
20250831,ATLASBANG,66.8,66.8,63,63.6,2912
20250831,AZIZPIPES,58.5,58.8,56.8,57.1,23989
20250831,BANGAS,126.8,129.5,124.2,128.5,211548
20250831,BANKASIA,19.1,19.3,18.9,19.1,3317446
20250831,BARKAPOWER,11.5,11.7,11.4,11.5,2280389
20250831,BATASHOE,868,879,868,877.8,1477
20250831,BATBC,292,298.4,291.5,297.7,255523
20250831,BAYLEASING,4.3,4.4,4.3,4.4,160258
20250831,BBS,11.4,11.4,11.1,11.1,1492434
20250831,BBSCABLES,17.5,18.1,17,17.2,1484743
20250831,BDAUTOCA,134,140.7,134,139.3,151762
20250831,BDCOM,26.8,29.2,26.8,28.5,3796805
20250831,BDFINANCE,9.9,10,9.6,9.7,237314
20250831,BDLAMPS,164.6,164.6,158.3,159.8,27441
20250831,BDPAINTS,34.9,34.9,33,34.3,19033
20250831,BDTHAI,13.5,13.6,13.2,13.3,2203043
20250831,BDTHAIFOOD,15.7,16.1,15.4,15.6,1445225
20250831,BDWELDING,9.8,10.3,9.8,9.9,115751
20250831,BEACHHATCH,56,58.1,56,56.7,2170109
20250831,BEACONPHAR,143,144.4,137.1,138.1,889939
20250831,BENGALBISC,63,63,58.1,62.5,10
20250831,BENGALWTL,20.8,21.6,20.5,21,780858
20250831,BERGERPBL,1480,1495,1477.3,1477.9,16143
20250831,BESTHLDNG,18.4,18.8,18.2,18.4,3571035
20250831,BEXGSUKUK,57,59,56,57,8407
20250831,BEXIMCO,110.1,110.1,110.1,110.1,1
20250831,BGIC,34.5,34.5,33.6,33.7,144363
20250831,BIFC,4.5,4.5,4.5,4.5,56595
20250831,BNICL,44.6,45.7,44,44.4,178262
20250831,BPML,37.3,38.4,37.2,37.5,712678
20250831,BPPL,14.3,14.8,14.3,14.7,3122998
20250831,BRACBANK,71.5,77.7,71.5,76.5,3714503
20250831,BSC,121,123,118.7,119.2,1711739
20250831,BSCPLC,149.8,149.9,147.5,147.9,331093
20250831,BSRMLTD,91.5,91.5,89.2,90,53125
20250831,BSRMSTEEL,70,70,68.5,69.7,217695
20250831,BXPHARMA,131.9,134.4,129.2,130,1091332
20250831,CAPITECGBF,7.3,7.4,7,7,2139102
20250831,CAPMBDBLMF,8.6,8.8,8.4,8.8,123414
20250831,CAPMIBBLMF,8,8.1,7.7,7.7,177180
20250831,CENTRALINS,45.8,47,44.9,45.1,1421653
20250831,CENTRALPHL,10.4,10.4,10.2,10.3,1211917
20250831,CITYBANK,25.3,25.8,25.2,25.4,10135748
20250831,CITYGENINS,59.9,60.4,59.2,60.1,291009
20250831,CLICL,52.1,57,51.5,56,1159226
20250831,CNATEX,3.1,3.2,3.1,3.1,989375
20250831,CONFIDCEM,61.3,62.9,61.1,62.4,767833
20250831,CONTININS,27.8,28.9,27.6,27.8,1101363
20250831,COPPERTECH,22.8,23.5,22.6,22.8,900201
20250831,CRAFTSMAN,25,25,24,24,15050
20250831,CROWNCEMNT,53,54.4,52.6,53.4,40415
20250831,CRYSTALINS,56.5,59.4,56.1,58.8,1352534
20250831,CVOPRL,167,170.6,165,168.1,385288
20250831,DACCADYE,19,20.6,19,20,932055
20250831,DAFODILCOM,59.2,63.4,59.2,60.3,487287
20250831,DBH,39,39.5,38.4,38.6,514902
20250831,DBH1STMF,5.8,5.9,5.7,5.8,310468
20250831,DELTALIFE,82,83.7,81.5,82.3,291716
20250831,DELTASPINN,5.7,5.9,5.7,5.8,381233
20250831,DESCO,25.6,25.7,25.3,25.5,95264
20250831,DESHBANDHU,21.3,21.8,20.8,20.9,1990840
20250831,DGIC,23.2,23.6,23.2,23.4,263113
20250831,DHAKABANK,12,12.1,11.9,11.9,2373979
20250831,DHAKAINS,39.5,40,39,39.1,53239
20250831,DOMINAGE,17.5,18.2,17.2,17.4,6898858
20250831,DOREENPWR,30.3,30.8,29.1,29.4,1274404
20250831,DSHGARME,121.5,129.9,121.1,127.3,308947
20250831,DSSL,11.4,11.6,11.2,11.2,3214879
20250831,DULAMIACOT,115.7,115.7,111.1,112,27528
20250831,DUTCHBANGL,42,42.8,41.6,42.4,501084
20250831,EASTERNINS,55,56.4,52.9,54.2,159035
20250831,EASTLAND,20.4,22,20.4,21.6,846751
20250831,EASTRNLUB,2702.7,2702.7,2625,2632,12676
20250831,EBL,25.7,25.7,25.2,25.6,1252583
20250831,EBL1STMF,4.4,4.4,4.1,4.2,560554
20250831,EBLNRBMF,3.5,3.5,3.3,3.4,152698
20250831,ECABLES,137,138,132.1,134,58857
20250831,EGEN,24.7,26.4,24.7,25.4,3380962
20250831,EHL,90,92,90,90.7,1022573
20250831,EIL,33.9,34.2,33.6,33.7,1550962
20250831,EMERALDOIL,19.2,19.4,19,19.3,379730
20250831,ENVOYTEX,55.8,55.8,53.7,53.9,1119358
20250831,EPGL,23.9,24.6,22.7,22.8,2218734
20250831,ESQUIRENIT,26.1,26.6,25.8,26,498920
20250831,ETL,10.5,11,10.4,11,9104227
20250831,EXIM1STMF,4.9,4.9,4.3,4.4,1211500
20250831,EXIMBANK,4.4,4.5,4.3,4.4,1261802
20250831,FAMILYTEX,2,2.1,1.9,2,716338
20250831,FARCHEM,23,23.5,23,23.1,778544
20250831,FAREASTFIN,2,2.1,1.9,1.9,1446784
20250831,FAREASTLIF,29.5,29.5,28.4,28.7,77630
20250831,FASFIN,1.5,1.7,1.5,1.7,2220362
20250831,FBFIF,3.3,3.4,3.3,3.3,41274
20250831,FEDERALINS,22.8,23,22.3,22.6,404572
20250831,FEKDIL,19.6,19.6,18.9,19,4660459
20250831,FINEFOODS,285,289,282,287.7,175063
20250831,FIRSTFIN,2.6,2.7,2.6,2.7,243461
20250831,FIRSTSBANK,3,3.1,2.9,3,1294003
20250831,FORTUNE,16.5,16.6,16.1,16.2,760538
20250831,FUWANGCER,13.8,13.9,13.3,13.5,3035576
20250831,FUWANGFOOD,15.6,15.8,15.2,15.3,1951282
20250831,GBBPOWER,6.5,6.8,6.5,6.7,233230
20250831,GEMINISEA,193.5,199,192.5,193.7,134752
20250831,GENEXIL,25.2,26.9,25.2,26.5,1582944
20250831,GENNEXT,2.5,2.7,2.5,2.7,2749097
20250831,GHAIL,13.9,14.1,13.5,13.6,1310022
20250831,GHCL,21.9,24,21.9,23.6,551658
20250831,GIB,2.4,2.4,2.3,2.4,1212267
20250831,GLDNJMF,7.1,7.1,6.8,6.9,642780
20250831,GLOBALINS,29,29.2,28,28.8,511986
20250831,GOLDENSON,12.2,12.4,12,12.1,3232804
20250831,GP,307,311.9,306,310.4,160761
20250831,GPHISPAT,20.6,20.9,20.5,20.9,2065790
20250831,GQBALLPEN,401.7,409,393.9,398.2,77255
20250831,GRAMEENS2,13.6,13.7,13.5,13.6,468607
20250831,GREENDELMF,3.7,3.8,3.6,3.7,375411
20250831,GREENDELT,53.5,53.9,53,53.1,110607
20250831,GSPFINANCE,3.5,3.7,3.5,3.6,419929
20250831,HAKKANIPUL,78.4,84.4,78.1,81,1025140
20250831,HAMI,104.5,112.6,104.5,108.4,165812
20250831,HEIDELBCEM,266,272,258.2,263.6,42993
20250831,HFL,8.8,8.8,8.6,8.6,137315
20250831,HIMADRI,1034.5,1034.5,950,999.6,1129
20250831,HRTEX,32.6,33.9,31.3,31.7,1808115
20250831,HWAWELLTEX,50.7,50.7,49,49.2,120872
20250831,IBNSINA,312,325,312,321.3,150609
20250831,IBP,13.2,14,13.2,13.9,3901142
20250831,ICB,52.5,53.1,51.8,52,323523
20250831,ICB3RDNRB,4.6,4.7,4.6,4.6,179712
20250831,ICBAGRANI1,7.1,7.1,6.6,6.7,168968
20250831,ICBAMCL2ND,5.9,6,5.8,5.8,62809
20250831,ICBEPMF1S1,4.9,4.9,4.8,4.8,60712
20250831,ICBIBANK,2.7,2.7,2.4,2.5,266445
20250831,ICBSONALI1,5.1,5.2,5,5.2,858800
20250831,ICICL,22.8,23.1,22.6,22.8,400011
20250831,IDLC,40.6,41.6,40.3,40.4,989663
20250831,IFADAUTOS,26,26,25,25.1,1149998
20250831,IFIC,6,6.1,5.9,6,4509117
20250831,IFIC1STMF,3.5,3.5,3.4,3.4,630791
20250831,IFILISLMF1,4.3,4.4,4.1,4.3,370506
20250831,ILFSL,1.9,2,1.8,2,188494
20250831,INDEXAGRO,78.7,79.9,77.5,77.7,212485
20250831,INTECH,28.7,31,28.7,31,1301727
20250831,INTRACO,25.4,27.5,25.3,27,6310290
20250831,IPDC,18.5,19.4,18.5,19.1,4622537
20250831,ISLAMIBANK,43,44,42.8,43.4,783133
20250831,ISLAMICFIN,8,8,7.3,7.5,114013
20250831,ISLAMIINS,41.4,41.5,40.6,40.8,42807
20250831,ISNLTD,110,116.2,102,104.6,1518225
20250831,ITC,45.1,46.8,44.1,44.4,3004472
20250831,JAMUNABANK,21.2,21.5,21,21.3,7231443
20250831,JAMUNAOIL,190.5,192.1,189.5,191.1,90076
20250831,JANATAINS,26.2,26.5,26,26.1,152490
20250831,JHRML,58.5,59.8,57.8,58.1,718337
20250831,JMISMDL,159,161.7,155,156.7,114343
20250831,JUTESPINN,218.8,218.8,205,205.7,2670
20250831,KARNAPHULI,32.6,32.8,32,32.3,848827
20250831,KAY&QUE,355.8,377.5,343.9,369.1,222157
20250831,KBPPWBIL,118,123.1,117.9,120.1,1535904
20250831,KBSEED,8.5,8.5,7.9,8,45504
20250831,KDSALTD,46.7,47.4,45.5,45.8,1448318
20250831,KEYACOSMET,4.9,5,4.8,4.8,1576828
20250831,KFL,10,10,8.7,8.9,249144
20250831,KOHINOOR,550.6,572,550,555.7,30516
20250831,KPCL,10.8,11.5,10.6,11.3,955287
20250831,KPPL,17.3,17.3,16.3,16.4,577729
20250831,KTL,14.4,14.6,14,14.1,3964408
20250831,LANKABAFIN,16.4,16.6,16.2,16.5,2566484
20250831,LEGACYFOOT,71,72.5,70.4,71.3,467500
20250831,LHB,58.1,58.5,57.4,57.7,875989
20250831,LIBRAINFU,822,835,807,812.5,29804
20250831,LINDEBD,973.2,980,965.1,968.2,17156
20250831,LOVELLO,96,104.1,95.5,103.3,3584637
20250831,LRBDL,14.5,14.6,14.3,14.4,444179
20250831,LRGLOBMF1,3.6,3.6,3.5,3.5,365371
20250831,MAGURAPLEX,112.8,113.7,110,110.5,641214
20250831,MAKSONSPIN,6.5,6.8,6.5,6.5,414830
20250831,MALEKSPIN,34,34.6,33.7,33.8,4607200
20250831,MAMUNAGRO,26.1,26.1,24.4,25.3,72657
20250831,MARICO,2931.8,2945,2880,2918.8,1940
20250831,MASTERAGRO,5.4,5.4,5,5.1,34658
20250831,MATINSPINN,56,56.8,55.9,56.2,339859
20250831,MBL1STMF,4.7,4.7,4.3,4.5,122973
20250831,MEGCONMILK,17.8,18.7,17.8,18.2,33805
20250831,MEGHNACEM,48.4,50.5,48.4,48.7,48695
20250831,MEGHNAINS,26.9,27.2,26.3,26.9,391229
20250831,MEGHNALIFE,63,65,62.7,63.4,1026092
20250831,MEGHNAPET,25.7,28.2,25.7,26.2,40680
20250831,MERCANBANK,9.8,9.9,9.6,9.7,1934883
20250831,MERCINS,26.6,26.8,26,26.3,73415
20250831,METROSPIN,11.3,11.7,11.2,11.5,260799
20250831,MHSML,18.3,18.4,17.8,18,1854565
20250831,MIDASFIN,6.5,6.7,6.5,6.7,47927
20250831,MIDLANDBNK,19.3,19.5,18.8,18.9,1428758
20250831,MIRACLEIND,29.7,30,28.9,29.2,200419
20250831,MIRAKHTER,33,33,31.4,31.7,1957614
20250831,MITHUNKNIT,19.5,20.5,19.4,20.5,725976
20250831,MJLBD,99.4,100.3,97.9,98.5,525741
20250831,MKFOOTWEAR,52.8,52.8,52.8,52.8,55199
20250831,MLDYEING,10.4,10.6,10,10.1,1925352
20250831,MONNOAGML,393.5,400,383,385.7,54468
20250831,MONNOCERA,90.7,91.8,90.1,90.5,396976
20250831,MONNOFABR,19.9,20.6,19,19.2,3738299
20250831,MONOSPOOL,119.2,120.5,117.5,118.1,338138
20250831,MOSTFAMETL,8.8,8.8,8.3,8.5,49192
20250831,MPETROLEUM,207.8,211.5,207.5,210.1,65955
20250831,MTB,13.2,13.3,13.1,13.3,615306
20250831,NAHEEACP,23.4,23.4,22.9,22.9,1400395
20250831,NATLIFEINS,117,123,116.9,121.8,357232
20250831,NAVANACNG,23,23,22.6,22.7,102101
20250831,NAVANAPHAR,64,65.8,63,63.4,1391779
20250831,NBL,3.6,3.6,3.5,3.6,243973
20250831,NCCBANK,12.2,12.3,12,12.1,1766653
20250831,NCCBLMF1,5,5.1,5,5,33500
20250831,NEWLINE,6.5,6.5,6.2,6.2,230267
20250831,NFML,10.4,10.4,10,10.1,190496
20250831,NHFIL,26.1,26.7,25.4,25.6,1185926
20250831,NIALCO,19.5,19.5,19.4,19.4,1569
20250831,NITOLINS,28.8,29.4,27.5,27.8,138475
20250831,NORTHERN,114.4,117.9,114.3,116.3,4884
20250831,NORTHRNINS,33.9,33.9,31.1,32.5,56129
20250831,NPOLYMER,35,35.1,33.4,33.7,1035333
20250831,NRBBANK,9.1,9.3,8.9,9.1,2814955
20250831,NRBCBANK,6.6,6.7,6.5,6.6,1559744
20250831,NTC,212,214.5,212,214.5,53483
20250831,NTLTUBES,82.9,86.1,82.9,84.5,977549
20250831,NURANI,2.9,2.9,2.7,2.7,287618
20250831,OAL,7.1,7.4,7.1,7.2,659856
20250831,OIMEX,25.3,25.8,24.6,24.8,2558298
20250831,OLYMPIC,166,171.3,166,169.9,417955
20250831,ONEBANKPLC,8,8,7.8,7.9,2188216
20250831,ORIONINFU,520,540,517.7,535,438013
20250831,ORIONPHARM,36.5,39.8,36.5,39.8,4140836
20250831,ORYZAAGRO,9.3,9.3,8.7,9.3,16636
20250831,PADMALIFE,21.7,22,21,21.1,164886
20250831,PADMAOIL,200.8,203,200,202.2,37157
20250831,PARAMOUNT,46.2,48.3,46.1,46.8,251314
20250831,PDL,6.3,6.5,6.2,6.4,513436
20250831,PENINSULA,11.5,12.1,11.5,11.9,631331
20250831,PEOPLESINS,36.5,36.5,35.2,35.5,335772
20250831,PF1STMF,5,5.1,5,5,590923
20250831,PHARMAID,638,639,619,620.8,21017
20250831,PHENIXINS,28,28.4,28,28.1,102036
20250831,PHOENIXFIN,3.4,3.5,3.2,3.5,797280
20250831,PHPMF1,3.2,3.3,3.2,3.3,185427
20250831,PIONEERINS,46.7,47,46.2,46.7,195133
20250831,PLFSL,1.4,1.5,1.4,1.4,3031584
20250831,POPULAR1MF,3.3,3.3,3.2,3.2,817510
20250831,POPULARLIF,49.8,51.8,49.6,50.8,1056737
20250831,POWERGRID,33.5,34.7,33.5,34.5,306932
20250831,PRAGATIINS,59.1,59.9,58.6,58.8,167255
20250831,PRAGATILIF,166.8,172,164.4,166.6,359964
20250831,PREMIERBAN,6.7,6.8,6.3,6.4,3269493
20250831,PREMIERCEM,50,53.5,50,52,548464
20250831,PREMIERLEA,1.7,1.9,1.7,1.9,233948
20250831,PRIME1ICBA,5,5.1,4.8,5,35936
20250831,PRIMEBANK,28.4,28.7,28.3,28.5,1130264
20250831,PRIMEFIN,2.9,3,2.8,2.9,657737
20250831,PRIMEINSUR,36.5,36.5,35.3,35.4,175434
20250831,PRIMELIFE,44.9,46.1,44.2,44.9,196223
20250831,PRIMETEX,14.4,14.4,13.8,14.2,71231
20250831,PROGRESLIF,63,64.5,62.1,63.8,143130
20250831,PROVATIINS,34.6,35.4,34.6,34.8,266863
20250831,PTL,57.9,58.5,56.1,56.4,953252
20250831,PUBALIBANK,29.1,29.8,29.1,29.7,1229731
20250831,PURABIGEN,19,19,18.6,18.8,88187
20250831,QUASEMIND,46.2,47.4,45.1,45.9,1940685
20250831,QUEENSOUTH,14.5,14.7,14.2,14.3,1156410
20250831,RAHIMAFOOD,142.8,152.6,138,152.6,793218
20250831,RAHIMTEXT,188.5,199.1,187.4,194.1,69749
20250831,RAKCERAMIC,23.3,25.6,23.3,24.9,2215509
20250831,RANFOUNDRY,166.9,166.9,162.1,164.3,54716
20250831,RDFOOD,27,27.3,26.3,26.5,2598874
20250831,RECKITTBEN,3410,3449.9,3410,3439.4,2412
20250831,REGENTTEX,3.8,3.8,3.5,3.5,157111
20250831,RELIANCE1,14,14.8,13.9,14.1,789163
20250831,RELIANCINS,66.9,66.9,64.9,65.4,101357
20250831,RENATA,521,547,521,528.5,228224
20250831,RENWICKJA,671,671,666,666.8,34
20250831,REPUBLIC,34.5,35,34,34.6,522311
20250831,RINGSHINE,3,3.1,3,3,917157
20250831,ROBI,27.7,29.1,27.7,28.8,11501294
20250831,RSRMSTEEL,9.3,9.3,9,9.1,146516
20250831,RUNNERAUTO,31.6,31.9,30.8,31.1,528111
20250831,RUPALIBANK,21.9,22.3,21.6,22,845181
20250831,RUPALIINS,24.5,24.7,23.8,23.9,482370
20250831,RUPALILIFE,93,95.9,92.2,94.5,489285
20250831,SADHESIVE,68,68,66,67.1,12910
20250831,SAFKOSPINN,16.7,17,15.3,15.5,478159
20250831,SAIFPOWER,6.2,6.7,6.2,6.7,1403958
20250831,SAIHAMCOT,18.3,18.7,18.2,18.4,4707322
20250831,SAIHAMTEX,16.6,16.8,16.4,16.5,907915
20250831,SALAMCRST,18.8,19,18.1,18.3,885658
20250831,SALVOCHEM,32.3,32.9,31.8,32.3,3017032
20250831,SAMATALETH,107,111.1,104.4,105.5,253841
20250831,SAMORITA,74.5,75.2,72.8,73.2,148493
20250831,SANDHANINS,23.3,23.6,23.2,23.3,833321
20250831,SAPORTL,30,30.2,28.9,29,2083269
20250831,SBACBANK,7.8,8,7.7,7.9,488384
20250831,SEAPEARL,60.1,60.9,58.7,59.1,1986204
20250831,SEMLFBSLGF,5.3,5.3,5,5,223640
20250831,SEMLIBBLSF,6.8,6.8,6.7,6.7,52179
20250831,SEMLLECMF,7.1,7.2,6.9,7,1616931
20250831,SHAHJABANK,18.5,18.9,18.5,18.8,729386
20250831,SHARPIND,19.6,20,19.1,19.3,1043086
20250831,SHASHADNIM,20.5,21.7,20.4,21,1602124
20250831,SHEPHERD,19.7,20.3,19.2,19.4,3115460
20250831,SHURWID,6.1,6.2,5.9,5.9,106480
20250831,SHYAMPSUG,155,165.7,150,165.7,75433
20250831,SIBL,5.5,5.5,5.4,5.5,116705
20250831,SICL,21.9,22.5,21.8,22.1,485322
20250831,SILCOPHL,16.5,16.9,16.5,16.6,2005647
20250831,SILVAPHL,13.1,13.3,12.5,12.6,1811796
20250831,SIMTEX,19.7,19.8,19.3,19.5,2386323
20250831,SINGERBD,111.2,117,110,114.7,147644
20250831,SINOBANGLA,53.5,59,52.8,58.1,3870276
20250831,SIPLC,50,50.4,49.1,49.7,132443
20250831,SKTRIMS,9.5,9.5,9.3,9.4,137683
20250831,SONALIANSH,229.1,237.9,229.1,233.9,278485
20250831,SONALILIFE,74.9,77,74.9,75,116716
20250831,SONALIPAPR,284,296.6,277.1,281.8,695001
20250831,SONARBAINS,29,29.7,28.7,29.5,439488
20250831,SONARGAON,38.8,39.3,37,37.5,1031624
20250831,SOUTHEASTB,9.2,9.4,9.1,9.1,4420128
20250831,SPCERAMICS,20.9,21.2,20.1,20.3,2771514
20250831,SPCL,50.8,51.8,48.2,48.9,2442775
20250831,SQUARETEXT,57.5,57.5,56,56.4,294235
20250831,SQURPHARMA,223,226,223,224.1,239313
20250831,SSSTEEL,5.4,5.6,5.4,5.5,472958
20250831,STANCERAM,82.1,82.9,80.4,82.7,15333
20250831,STANDARINS,42,43.5,40.8,43.2,143374
20250831,STANDBANKL,6.4,6.6,6.4,6.5,644140
20250831,STYLECRAFT,82.1,83,81.5,81.7,162048
20250831,SUMITPOWER,15.4,15.4,14.9,15,1174478
20250831,SUNLIFEINS,55.4,58,55,56.9,406082
20250831,TAKAFULINS,34.3,34.9,34,34.2,34285
20250831,TALLUSPIN,5.9,6.2,5.9,6.2,158437
20250831,TAMIJTEX,135.6,137.4,134.2,135.3,32677
20250831,TB20Y0744,121.16,121.16,121.16,121.16,3000
20250831,TB20Y1242,89.76,89.76,89.76,89.76,4000
20250831,TECHNODRUG,38.8,38.8,37.1,37.5,3099798
20250831,TILIL,84.7,88.7,80.1,84.1,1791427
20250831,TITASGAS,23.2,23.3,22.7,22.9,334118
20250831,TOSRIFA,20.5,21.5,20.5,21.3,1370339
20250831,TRUSTB1MF,3.5,3.5,3.4,3.5,213186
20250831,TRUSTBANK,19.1,19.3,18.9,19,1805131
20250831,TUNGHAI,2.5,2.5,2.3,2.4,66885
20250831,UCB,9.8,9.9,9.7,9.8,871254
20250831,UNILEVERCL,2465,2481.2,2465,2469.3,295
20250831,UNIONBANK,2.5,2.5,2.4,2.4,589794
20250831,UNIONCAP,4.4,4.8,4.4,4.7,702633
20250831,UNIONINS,37.5,37.5,37,37.3,298252
20250831,UNIQUEHRL,44.5,44.6,43.2,43.6,931349
20250831,UNITEDFIN,13.1,13.3,13,13.1,792822
20250831,UNITEDINS,44,44.2,42.7,43.3,64691
20250831,UPGDCL,148.6,151,147.6,148,160228
20250831,USMANIAGL,38.2,38.2,36.6,37.1,24174
20250831,UTTARABANK,21.2,21.5,21.1,21.3,1741063
20250831,UTTARAFIN,14.6,15,14.4,14.6,40117
20250831,VAMLBDMF1,6.9,6.9,6.7,6.8,158130
